"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1981 to December 31, 2021, retrieved on December 14, 2021"
" (14957 days actual, 18 days 'forecast')"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 77% of requested data were available from station DAVIS.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        13802           42          943          188            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, max/min   13584          112         1096          183            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, observed  12631            0            0            0         2344        "
"                     DAVIS.T      none         none         none         "
"Soil Temps, max/min  13225           88            0         1662            0        "
"                     DAVIS.T      DAVIS.C      none         DAVIS.C      "
"Solar Radiation       1298        12789          148          740            0        "
"                     DAVIS.T      DAVIS.A      ZAMORA.A     DAVIS.A      "
"Wind Speed & Dir     13119            0            0            0         1856        "
"                     DAVIS.T      none         none         none         "
"Weather Condition    13428            0            0            0         1547        "
"                     DAVIS.T      none         none         none         "
"Pan Evaporation      13305            0            0         1670            0        "
"                     DAVIS.T      none         none         DAVIS.C      "
"Bulb Temps            9795            0            0            0         5180        "
"                     DAVIS.T      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.T,19810101,800,0.000,,6.1,4.4,,F,,,210.0,210.0,10.0,8.9,0.000,69,,,
DAVIS.T,19810102,800,0.000,,6.1,3.3,,F,,,198.9,198.9,8.9,7.8,0.254,69,,,
DAVIS.T,19810103,800,0.000,,10.0,3.3,,PC,,,221.1,221.1,10.6,7.8,0.000,68,,,
DAVIS.T,19810104,800,0.000,,17.2,4.4,,F,,,221.1,221.1,13.9,7.8,0.000,62,,,
DAVIS.T,19810105,800,0.000,,12.8,4.4,,F,,,232.2,232.2,13.3,8.3,2.031,77,,,
DAVIS.T,19810106,800,0.000,,7.8,3.3,,F,,,232.2,237.8,10.0,8.9,0.761,69,,,
DAVIS.T,19810107,800,0.000,,7.8,5.6,,F,,,215.6,221.1,10.0,8.9,0.254,62,,,
DAVIS.T,19810108,800,0.000,,7.2,4.4,,F,,,210.0,215.6,10.0,8.9,1.015,61,,,
DAVIS.T,19810109,800,0.000,,5.6,3.9,,F,,,204.4,210.0,8.9,7.8,0.508,71,,,
DAVIS.T,19810110,800,0.000,,5.0,2.8,,F,,,187.8,193.3,8.9,7.8,0.508,67,,,
DAVIS.T,19810111,800,0.000,,6.1,2.8,,F,,,187.8,187.8,8.9,7.8,0.254,74,,,
DAVIS.T,19810112,800,0.000,,10.0,2.8,,F,,,198.9,204.4,10.0,7.2,0.254,73,,,
DAVIS.T,19810113,800,0.761,,15.6,0.6,,F,,,176.7,176.7,12.8,6.7,0.508,80,,,
DAVIS.T,19810114,800,0.000,,15.0,0.6,,F,,,176.7,176.7,12.2,6.1,0.761,77,,,
DAVIS.T,19810115,800,0.000,,17.2,1.7,,PC,,,198.9,204.4,13.3,6.1,1.269,77,,,
DAVIS.T,19810116,800,1.523,,16.1,4.4,,PC,,,254.4,260.0,13.9,7.2,1.523,88,,,
DAVIS.T,19810117,800,1.269,,13.9,8.3,,CY,,,248.9,254.4,12.8,10.0,1.269,84,,,
DAVIS.T,19810118,800,0.254,,17.8,6.7,,PC,,,226.7,232.2,15.6,10.0,0.000,82,,,
DAVIS.T,19810119,800,0.508,,14.4,7.2,,PC,,,260.0,265.6,13.3,10.0,1.269,86,,,
DAVIS.T,19810120,800,3.046,,13.3,8.3,,F,,,254.4,260.0,13.3,11.1,0.508,85,,,
DAVIS.T,19810121,800,0.761,,15.0,9.4,,CY,,,265.6,265.6,13.9,10.6,0.508,82,,,
DAVIS.T,19810122,800,0.000,,12.8,10.0,,CY,,,260.0,265.6,12.2,11.1,0.254,78,,,
DAVIS.T,19810123,800,27.66,,12.8,9.4,,PC,,,254.4,260.0,12.2,11.1,1.777,80,,,
DAVIS.T,19810124,800,3.553,,12.2,4.4,,C,,,204.4,210.0,13.3,7.2,1.523,90,,,
DAVIS.T,19810125,800,0.000,,12.2,0.0,,C,,,176.7,182.2,12.2,6.1,0.761,93,,,
DAVIS.T,19810126,800,2.792,,10.0,2.2,,R,,,226.7,226.7,10.6,5.6,1.523,88,,,
DAVIS.T,19810127,800,25.63,,11.7,6.7,,PC,,,248.9,254.4,10.0,8.3,0.000,93,,,
DAVIS.T,19810128,800,21.82,,13.3,9.4,,PC,,,243.3,265.6,11.7,9.4,0.254,102,,,
DAVIS.T,19810129,800,18.78,,12.8,5.0,,PC,,,215.6,221.1,12.8,8.3,0.254,100,,,
